record; sid; aq1_1; aq1_2; aq1_10; aq2_1; aq2_2; aq2_10; temp1; temp2; hum1; hum2; lum; timest; 
<function>; 7d58; 8; 14; 14; 21; 29; 32; 0; 23.7; 0; 51.3; 5.833333; 24
<function>; 7d58; 30; 42; 56; 22; 36; 39; 0; 23.7; 0; 51.4; 5.0; 50
<function>; 7d58; 14; 36; 42; 21; 33; 34; 0; 0; 0; 0; 0.0; 76
<function>; 7d58; 20; 30; 30; 21; 32; 35; 0; 23.7; 0; 52.0; 0.0; 102
<function>; 7d58; 12; 32; 32; 22; 33; 41; 0; 23.7; 0; 52.0; 0.0; 128
<function>; 7d58; 16; 28; 44; 23; 34; 36; 0; 23.7; 0; 52.0; 0.0; 154
<function>; 7d58; 20; 32; 40; 21; 33; 38; 0; 23.7; 0; 51.9; 0.0; 180
<function>; 7d58; 14; 20; 36; 21; 28; 30; 0; 0; 0; 0; 0.0; 207
<function>; 7d58; 12; 18; 18; 20; 28; 29; 0; 0; 0; 0; 0.0; 233
<function>; 7d58; 26; 40; 46; 22; 33; 38; 0; 0; 0; 0; 0.0; 259
<function>; 7d58; 12; 26; 26; 19; 28; 32; 0; 23.8; 0; 51.7; 0.0; 285
<function>; 7d58; 20; 40; 40; 21; 31; 33; 0; 23.9; 0; 51.7; 0.0; 311
<function>; 7d58; 10; 22; 36; 20; 28; 31; 0; 0; 0; 0; 0.0; 337
<function>; 7d58; 20; 30; 36; 21; 32; 35; 0; 0; 0; 0; 0.0; 363
<function>; 7d58; 21; 32; 33; 21; 31; 33; 0; 24.0; 0; 51.4; 0.0; 389
<function>; 7d58; 16; 36; 36; 18; 31; 35; 0; 0; 0; 0; 0.0; 416
<function>; 7d58; 12; 18; 18; 21; 29; 30; 0; 24.0; 0; 51.3; 0.0; 442
<function>; 7d58; 8; 18; 34; 18; 26; 29; 0; 17.7; 0; 51.2; 0.0; 468
<function>; 7d58; 24; 46; 46; 23; 32; 33; 0; 0; 0; 0; 0.0; 494
<function>; 7d58; 20; 22; 22; 20; 31; 31; 0; 24.1; 0; 51.0; 0.0; 520
<function>; 7d58; 16; 30; 46; 18; 29; 31; 0; 24.1; 0; 51.0; 0.0; 546
<function>; 7d58; 14; 28; 28; 18; 29; 29; 0; 24.2; 0; 50.9; 0.0; 572
<function>; 7d58; 19; 32; 34; 20; 32; 35; 0; 0; 0; 0; 0.0; 598
<function>; 7d58; 20; 34; 34; 20; 32; 35; 0; 24.2; 0; 50.7; 0.0; 624
<function>; 7d58; 24; 42; 42; 20; 28; 30; 0; 24.3; 0; 50.8; 0.0; 650
<function>; 7d58; 22; 30; 30; 19; 28; 28; 0; 0; 0; 0; 0.0; 677
<function>; 7d58; 20; 24; 24; 20; 27; 27; 0; 24.3; 0; 50.6; 0.0; 703
<function>; 7d58; 8; 18; 18; 17; 26; 27; 0; 24.3; 0; 50.5; 0.0; 729
<function>; 7d58; 16; 26; 26; 19; 27; 29; 0; 0; 0; 0; 0.0; 755
<function>; 7d58; 14; 26; 26; 20; 29; 33; 0; 0; 0; 0; 0.0; 781
<function>; 7d58; 10; 14; 14; 17; 27; 27; 0; 0; 0; 0; 0.0; 807
<function>; 7d58; 8; 24; 36; 18; 29; 30; 0; 0; 0; 0; 0.0; 833
<function>; 7d58; 12; 22; 22; 18; 27; 28; 0; 0; 0; 0; 0.0; 860
<function>; 7d58; 14; 26; 26; 17; 27; 27; 0; 24.4; 0; 50.3; 0.0; 886
<function>; 7d58; 12; 22; 22; 17; 28; 34; 0; 24.5; 0; 50.3; 0.0; 912
<function>; 7d58; 18; 30; 30; 18; 27; 27; 0; 0; 0; 0; 0.0; 938
<function>; 7d58; 12; 24; 24; 19; 29; 29; 0; 0; 0; 0; 0.0; 964
<function>; 7d58; 16; 30; 30; 18; 27; 28; 0; 0; 0; 0; 0.0; 990
<function>; 7d58; 20; 31; 34; 18; 27; 35; 0; 0; 0; 0; 0.0; 1017
<function>; 7d58; 32; 46; 46; 19; 29; 31; 0; 0; 0; 0; 0.0; 1043
<function>; 7d58; 12; 16; 16; 19; 28; 29; 0; 0; 0; 0; 0.0; 1069
<function>; 7d58; 8; 20; 28; 21; 31; 35; 0; 0; 0; 0; 0.0; 1095
<function>; 7d58; 22; 33; 35; 17; 24; 29; 0; 0; 0; 0; 0.0; 1122
<function>; 7d58; 24; 42; 42; 20; 29; 29; 0; 24.6; 0; 49.8; 0.0; 1148
<function>; 7d58; 19; 28; 30; 18; 27; 28; 0; 0; 0; 0; 0.0; 1174
<function>; 7d58; 22; 32; 32; 20; 30; 32; 0; 24.6; 0; 49.9; 0.0; 1200
<function>; 7d58; 8; 20; 32; 18; 27; 29; 0; 24.6; 0; 49.9; 0.0; 1226
<function>; 7d58; 28; 40; 40; 20; 30; 30; 0; 0; 0; 0; 0.0; 1253
<function>; 7d58; 23; 31; 31; 19; 28; 30; 0; 24.6; 0; 49.9; 0.0; 1279
<function>; 7d58; 8; 16; 16; 19; 24; 24; 0; 0; 0; 0; 0.0; 1305
<function>; 7d58; 21; 29; 29; 20; 29; 37; 0; 0; 0; 0; 0.0; 1331
<function>; 7d58; 18; 30; 30; 21; 31; 31; 0; 0; 0; 0; 0.0; 1357
<function>; 7d58; 21; 32; 34; 20; 31; 33; 0; 24.7; 0; 49.7; 0.0; 1383
<function>; 7d58; 18; 30; 30; 19; 28; 28; 0; 24.7; 0; 49.8; 0.0; 1410
<function>; 7d58; 20; 24; 24; 16; 27; 28; 0; 24.7; 0; 49.7; 0.0; 1436
<function>; 7d58; 16; 28; 28; 20; 29; 29; 0; 24.7; 0; 49.7; 0.0; 1462
<function>; 7d58; 22; 36; 36; 20; 28; 30; 0; 24.8; 0; 49.8; 0.0; 1488
<function>; 7d58; 20; 31; 31; 20; 31; 33; 0; 24.8; 0; 49.7; 0.0; 1515
<function>; 7d58; 14; 36; 44; 18; 28; 29; 0; 24.8; 0; 49.7; 0.0; 1541
<function>; 7d58; 20; 31; 31; 16; 26; 28; 0; 24.8; 0; 49.7; 0.0; 1567
<function>; 7d58; 12; 22; 22; 19; 27; 29; 0; 0; 0; 0; 0.0; 1593
<function>; 7d58; 22; 32; 34; 17; 28; 31; 0; 24.8; 0; 49.5; 5.0; 1619
<function>; 7d58; 20; 31; 32; 20; 30; 33; 0; 24.8; 0; 49.5; 0.0; 1646
<function>; 7d58; 26; 34; 34; 20; 28; 28; 0; 18.4; 0; 49.1; 0.0; 1672
<function>; 7d58; 20; 28; 29; 20; 28; 30; 0; 0; 0; 0; 0.0; 1698
<function>; 7d58; 14; 22; 22; 16; 26; 29; 0; 0; 0; 0; 0.0; 1724
<function>; 7d58; 24; 26; 26; 17; 26; 28; 0; 0; 0; 0; 0.0; 1750
<function>; 7d58; 22; 44; 52; 21; 32; 33; 0; 0; 0; 0; 0.0; 1776
<function>; 7d58; 18; 34; 42; 21; 29; 29; 0; 0; 0; 0; 0.0; 1803
<function>; 7d58; 20; 32; 32; 21; 32; 39; 0; 0; 0; 0; 0.0; 1829
<function>; 7d58; 28; 30; 30; 19; 24; 25; 0; 24.9; 0; 49.2; 0.0; 1855
<function>; 7d58; 14; 26; 32; 21; 32; 32; 0; 0; 0; 0; 0.0; 1881
<function>; 7d58; 10; 40; 46; 17; 29; 30; 0; 0; 0; 0; 0.0; 1908
<function>; 7d58; 18; 40; 40; 21; 34; 38; 0; 24.9; 0; 48.9; 0.0; 1934
<function>; 7d58; 14; 26; 26; 18; 29; 30; 0; 0; 0; 0; 0.0; 1960
<function>; 7d58; 14; 46; 46; 15; 28; 28; 0; 0; 0; 0; 0.0; 1986
<function>; 7d58; 20; 27; 27; 20; 32; 33; 0; 0; 0; 0; 0.0; 2012
<function>; 7d58; 18; 28; 28; 20; 30; 34; 0; 0; 0; 0; 0.0; 2039
<function>; 7d58; 16; 22; 22; 19; 26; 30; 0; 24.9; 0; 48.5; 0.0; 2065
<function>; 7d58; 12; 14; 14; 19; 26; 26; 0; 24.9; 0; 48.5; 0.0; 2091
<function>; 7d58; 24; 38; 38; 21; 31; 31; 0; 24.9; 0; 48.5; 0.0; 2117
<function>; 7d58; 16; 26; 32; 19; 26; 29; 0; 0; 0; 0; 0.0; 2143
<function>; 7d58; 19; 29; 30; 19; 29; 30; 0; 24.9; 0; 48.4; 0.0; 2169
<function>; 7d58; 16; 24; 24; 16; 25; 31; 0; 24.1; 0; 48.4; 0.0; 2196
<function>; 7d58; 18; 28; 29; 17; 24; 25; 0; 0; 0; 0; 0.0; 2222
<function>; 7d58; 18; 28; 30; 19; 25; 25; 0; 0; 0; 0; 0.0; 2248
<function>; 7d58; 14; 26; 26; 15; 22; 23; 0; 25.0; 0; 48.4; 0.0; 2274
<function>; 7d58; 14; 22; 22; 19; 26; 28; 0; 24.2; 0; 48.4; 0.0; 2300
<function>; 7d58; 18; 22; 22; 17; 25; 26; 0; 25.0; 0; 48.4; 0.0; 2327
<function>; 7d58; 14; 28; 28; 21; 33; 34; 0; 0; 0; 0; 0.0; 2353
<function>; 7d58; 14; 22; 22; 17; 28; 28; 0; 25.0; 0; 48.4; 0.0; 2379
<function>; 7d58; 6; 14; 14; 17; 26; 31; 0; 25.0; 0; 48.5; 0.0; 2405
<function>; 7d58; 24; 34; 34; 21; 30; 30; 0; 25.0; 0; 48.5; 0.0; 2431
<function>; 7d58; 7168; 4096; 5632; 7168; 5376; 8192; 0; 0; 0; 0; 0.0; 2458
<function>; 7d58; 14; 22; 22; 19; 29; 34; 0; 0; 0; 0; 0.0; 2484
<function>; 7d58; 10; 18; 18; 16; 28; 29; 0; 0; 0; 0; 0.0; 2510
<function>; 7d58; 14; 24; 24; 19; 28; 30; 0; 0; 0; 0; 0.0; 2536
<function>; 7d58; 12; 30; 30; 17; 29; 30; 0; 25.0; 0; 48.3; 0.0; 2562
<function>; 7d58; 24; 34; 34; 21; 33; 36; 0; 25.0; 0; 48.2; 0.0; 2588
<function>; 7d58; 20; 30; 30; 19; 30; 36; 0; 0; 0; 0; 0.0; 2615
<function>; 7d58; 18; 22; 38; 17; 25; 26; 0; 25.0; 0; 48.0; 0.0; 2641
<function>; 7d58; 20; 36; 52; 20; 33; 38; 0; 0; 0; 0; 0.0; 2667
<function>; 7d58; 20; 34; 40; 20; 29; 30; 0; 25.0; 0; 47.9; 0.0; 2693
<function>; 7d58; 16; 44; 50; 20; 29; 35; 0; 25.0; 0; 47.9; 0.0; 2719
<function>; 7d58; 20; 44; 50; 19; 29; 29; 0; 25.0; 0; 47.9; 0.0; 2745
<function>; 7d58; 18; 32; 48; 19; 29; 30; 0; 0; 0; 0; 0.0; 2771
<function>; 7d58; 21; 31; 31; 19; 32; 34; 0; 25.0; 0; 48.1; 0.0; 2798
<function>; 7d58; 16; 24; 24; 17; 24; 24; 0; 25.0; 0; 48.1; 0.0; 2824
<function>; 7d58; 16; 28; 28; 19; 31; 32; 0; 25.0; 0; 48.1; 0.0; 2850
<function>; 7d58; 7168; 6144; 9728; 64; 102; 125; 0; 0; 0; 0; 5.0; 24
